# 核心依赖（AI 模型 + 数据处理）
torch>=2.2.2          # 明确支持 Python 3.12，修复部分类型注解兼容问题
numpy>=1.26.4         # 最新稳定版，完善 Python 3.12 下数组操作兼容性

# Web 渗透基础依赖
requests>=2.31.0      # 已支持 Python 3.12，保持最新稳定版
beautifulsoup4>=4.12.3 # 修复 lxml 解析器兼容问题
lxml>=5.1.0           # 最新版，解决 Python 3.12 下编译及解析器适配问题
urllib3>=2.2.1        # 修复与 requests 协同的连接池兼容问题

# 漏洞利用工具依赖
sqlalchemy>=2.0.25    # 修复 Python 3.12 下类型提示及模块导入问题
python-nmap>=0.7.2    # 最新版，解决旧版语法与 Python 3.12 兼容问题
scapy>=2.5.1          # 修复 3.12 下数据包处理的底层 API 兼容问题

# 辅助功能依赖
colorama>=0.4.6       # 无需更新，已兼容 3.12
pyyaml>=6.0.1         # 保持最新，修复加载逻辑兼容问题
markdown>=3.5.2       # 修复 3.12 下 Markdown 渲染的编码问题
pillow>=10.2.0        # 最新版，解决图像处理底层库适配问题

# 系统交互依赖（自动提权、工具调用）
paramiko>=3.4.0       # 修复 3.12 下 SSH 连接的加密模块兼容问题
psutil>=5.9.8         # 最新版，完善系统资源监控的 3.12 适配
